name,image_url,image_path
Luka Doncic,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Doncic_Luka_dal24.jpg,Luka_Doncic.jpg
Luguentz Dort,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dort_Lu_okc24.jpg,Luguentz_Dort.jpg
Ayo Dosunmu,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dosunmu_Ayo_chi24.jpg,Ayo_Dosunmu.jpg
Jeff Dowtin,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dowtin_Jeff_phi24.jpg,Jeff_Dowtin.jpg
Andre Drummond,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Drummond_Andre_phi24.jpg,Andre_Drummond.jpg
Alex Ducas,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ducas_Alex_okc24.jpg,Alex_Ducas.jpg
David Duke,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Duke_David_sas24.jpg,David_Duke.jpg
Kris Dunn,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dunn_Kris_lac24.jpg,Kris_Dunn.jpg
Ryan Dunn,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Dunn_Ryan_phx24.jpg,Ryan_Dunn.jpg
Kevin Durant,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Durant_Kevin_phx2.jpg,Kevin_Durant.jpg
Jalen Duren,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Duren_Jalen_det24.jpg,Jalen_Duren.jpg
Tari Eason,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Eason_Tari_hou24.jpg,Tari_Eason.jpg
Zach Edey,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Edey_Zach_mem24.jpg,Zach_Edey.jpg
Anthony Edwards,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Edwards_Anthony_min24.jpg,Anthony_Edwards.jpg
Jesse Edwards,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Edwards_Jesse_min24.jpg,Jesse_Edwards.jpg
Justin Edwards,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Edwards_Justin_phi24.jpg,Justin_Edwards.jpg
Kessler Edwards,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Edwards_Kessler_dal24.jpg,Kessler_Edwards.jpg
Keon Ellis,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Ellis_Keon_sac24.jpg,Keon_Ellis.jpg
Joel Embiid,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Embiid_Joel_phi24.jpg,Joel_Embiid.jpg
Drew Eubanks,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Eubanks_Drew_uta24.jpg,Drew_Eubanks.jpg
Tosan Evbuomwan,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Evbuomwan_Tosan_det24.jpg,Tosan_Evbuomwan.jpg
